
========================================
  IMU Diagnostic - Raw Data Output
========================================

[1] Checking IMU connection...
Version:1.0.0
[2] IMU found! Initializing...
[3] Streaming sensor data...

Rotate the IMU and observe the output.

----------------------------------------------------------------------------------------------------------------------------------------
TIME	RAW_MAG_X	RAW_MAG_Y	RAW_MAG_Z	EULER_YAW		QUAT_W		QUAT_X		QUAT_Y		QUAT_Z
----------------------------------------------------------------------------------------------------------------------------------------
10282	-18.7506		10.5228		-42.2620		-138.0014		-0.356682		0.005541		0.001148		0.932401
10390	-18.7506		10.3763		-42.4085		-140.7174		-0.336723		0.004195		0.000857		0.940578
10498	-18.7506		9.4974		-41.8714		-144.1120		-0.309258		0.004216		0.004111		0.949183
10606	-18.7506		8.7405		-41.7737		-146.8351		-0.284027		0.002778		0.002076		0.957049
10714	-18.7506		8.0569		-41.7493		-149.2612		-0.263756		0.003157		-0.000346		0.962834
10822	-18.7506		7.3977		-42.0911		-151.4905		-0.245026		0.004193		-0.001164		0.967766
10930	-16.0894		7.1047		-41.7005		-154.0734		-0.223152		0.010553		-0.004298		0.972985
11038	-18.7506		6.7385		-41.6761		-156.9026		-0.201416		-0.000877		-0.004389		0.978215
11146	-18.7506		6.0305		-42.1400		-159.3134		-0.178654		0.000214		-0.001833		0.982195
11254	-18.7506		5.3224		-41.9935		-161.8069		-0.157310		-0.000191		-0.002279		0.985837
11362	-18.7506		4.8830		-42.0179		-163.8710		-0.139587		-0.000314		-0.002961		0.988501
11470	-18.7506		4.2726		-42.0667		-165.8263		-0.122757		-0.000224		-0.004758		0.990725
11578	-18.7506		3.3937		-41.4075		-168.2822		-0.101563		-0.000819		0.004400		0.993123
11686	-18.7506		3.1739		-41.9202		-170.7625		-0.082270		-0.005116		-0.008418		0.994868
11794	-18.7506		2.9786		-41.9202		-172.1186		-0.068380		-0.004399		-0.001511		0.995957
11902	-18.7506		2.2706		-41.6761		-174.2253		-0.050117		0.000202		-0.006804		0.997030
12010	-18.7506		1.2696		-41.6761		-176.7366		-0.028309		0.002875		-0.007494		0.997879
12118	-18.7506		0.5860		-41.6272		-178.5862		-0.012306		-0.004124		-0.007432		0.998200
12226	-18.7506		0.0000		-41.4563		179.3816		0.003371		-0.003103		-0.004370		0.998292
12334	-18.7506		-1.1231		-41.7981		177.0842		0.023828		0.002401		-0.000916		0.998025
12442	-18.7506		-1.5137		-41.8470		175.6163		0.038053		0.000750		-0.001042		0.997586
12550	-18.7506		-1.9288		-41.9202		173.1049		0.059843		-0.009663		0.002181		0.996468
