
========================================
  IMU Diagnostic - Raw Data Output
========================================

[1] Checking IMU connection...
Version:1.0.0
[2] IMU found! Initializing...
[3] Streaming sensor data...

Rotate the IMU and observe the output.

--------------------------------------------------------------------------------
TIME	RAW_MAG_X	RAW_MAG_Y	RAW_MAG_Z	EULER_YAW	QUAT_W		QUAT_Z
--------------------------------------------------------------------------------
11421	-18.7506		-4.4191		-41.5052		163.9951		-0.135067		-0.988993
11529	-18.7506		-5.7375		-41.4563		160.3579		-0.169720		-0.983729
11636	-18.7506		-6.9582		-41.4563		157.5577		-0.193657		-0.979311
11743	-18.7506		-7.6174		-41.1878		155.4373		-0.211678		-0.975597
11851	-18.7506		-8.5940		-41.7249		153.1628		-0.228977		-0.971216
11958	-18.7506		-9.4485		-41.1634		150.8067		-0.250793		-0.966286
12065	-18.7506		-10.2298		-41.3831		148.0645		-0.273750		-0.960031
12173	-18.7506		-10.8158		-41.0901		146.7206		-0.284981		-0.956763
12281	-15.3813		-10.8402		-41.6028		146.1573		-0.289680		-0.955334
12388	-18.7506		-11.0355		-41.1145		145.3969		-0.295135		-0.953685
12496	-18.7506		-11.3773		-41.2610		144.0975		-0.306740		-0.950014
12604	-18.7506		-11.8168		-41.0901		141.9635		-0.324303		-0.944142
12711	-18.7506		-12.2318		-41.3587		140.0827		-0.339691		-0.938697
12819	-18.7506		-12.7934		-41.2854		137.3519		-0.359421		-0.930279
12926	-18.7506		-13.8920		-41.2366		133.9924		-0.389015		-0.919384
13033	-12.5004		-14.9907		-41.1634		129.6610		-0.423409		-0.904053
13140	-12.5004		-15.8208		-41.0657		125.2222		-0.457977		-0.886969
13248	-12.5004		-16.7730		-40.8460		119.9063		-0.494682		-0.864807
13355	-12.5004		-17.4566		-40.8460		115.2355		-0.533310		-0.843855
13462	-12.5004		-17.8961		-41.1145		111.0568		-0.563705		-0.823892
13570	-6.2502		-18.4576		-40.6507		107.7109		-0.587509		-0.807106
13678	-4.8341		-18.8726		-41.0657		103.9505		-0.613632		-0.787419
13785	-6.2502		-18.9459		-41.2854		100.7900		-0.633209		-0.771757
13892	-6.2502		-19.3365		-40.6262		97.9022		-0.654327		-0.753929
14000	-6.2502		-19.6783		-41.2366		94.0193		-0.679489		-0.731341
14107	-6.2502		-19.7272		-41.3587		89.5629		-0.707397		-0.704347
14215	0.0000		-19.6783		-41.1145		84.6657		-0.734192		-0.672434
14323	0.0000		-19.8004		-41.4075		80.1564		-0.762772		-0.643978
14431	0.0000		-19.3121		-41.0657		75.6816		-0.787369		-0.613700
14538	0.0000		-19.0680		-41.0901		71.3176		-0.810181		-0.583251
14645	6.2502		-18.5064		-41.3099		67.6998		-0.830688		-0.557375
14752	6.2502		-18.2623		-41.3831		65.2761		-0.839828		-0.539710
14859	6.2502		-17.6275		-41.4563		60.9611		-0.859512		-0.507681
14967	6.2502		-17.2857		-40.9436		56.2430		-0.879791		-0.471772
15074	6.2502		-16.6021		-41.2610		51.9958		-0.895065		-0.438666
15182	12.5004		-15.7231		-40.6262		47.3312		-0.912247		-0.405125
15290	12.5004		-14.7221		-41.2610		43.2999		-0.927353		-0.369205
15398	12.5004		-13.4281		-41.5540		39.0181		-0.940521		-0.334406
15506	12.5004		-12.7201		-41.0657		34.9853		-0.951782		-0.301031
